,country_name
1, Afghanistan 
2,  Albania 
3,  Algeria 
4,  Andorra 
5,  Angola 
6,  Antigua and Barbuda 
7,  Argentina 
8,  Armenia 
9,  Australia 
10,  Austria 
11,  Azerbaijan
12," Bahamas, The "
13,  Bahrain 
14,  Bangladesh 
15,  Barbados 
16,  Belarus 
17,  Belgium 
18,  Belize 
19,  Benin 
20,  Bhutan 
21,  Bolivia 
22,  Bosnia and Herzegovina 
23,  Botswana 
24,  Brazil 
25,  Brunei 
26,  Bulgaria 
27,  Burkina Faso 
28,  Burundi
29, Cambodia 
30,  Cameroon 
31,  Canada 
32,  Cape Verde 
33,  Central African Republic 
34,  Chad 
35,  Chile 
36,"  China, People's Republic of "
37,  Colombia 
38,  Comoros 
39,"  Congo, Democratic Republic of the "
40,"  Congo, Republic of the "
41,  Costa Rica 
42,  Croatia 
43,  Cuba 
44,  Cyprus 
45,  Czech Republic
46,  Denmark 
47,   Djibouti 
48,   Dominica 
49,   Dominican Republic
50,  East Timor 
51,   Ecuador 
52,   Egypt 
53,   El Salvador 
54,   Equatorial Guinea 
55,   Eritrea 
56,   Estonia 
57,   Eswatini 
58,   Ethiopia
59,  Fiji 
60,   Finland 
61,   France
62,  Gabon 
63,"   Gambia, The "
64,   Georgia 
65,   Germany 
66,   Ghana 
67,   Greece 
68,   Grenada 
69,   Guatemala 
70,   Guinea 
71,   Guinea
72,Bissau 
73,   Guyana
74,  Haiti 
75,   Honduras 
76,   Hungary
77,  Iceland 
78,   India 
79,   Indonesia 
80,   Iran 
81,   Iraq 
82,   Ireland 
83,   Israel 
84,   Italy 
85,   Ivory Coast
86,  Jamaica 
87,   Japan 
88,   Jordan
89,  Kazakhstan 
90,   Kenya 
91,   Kiribati 
92,"   Korea, North "
93,"   Korea, South "
94,   Kuwait 
95,   Kyrgyzstan
96,  Laos 
97,   Latvia 
98,   Lebanon 
99,   Lesotho 
100,   Liberia 
101,   Libya 
102,   Liechtenstein 
103,   Lithuania 
104,   Luxembourg
105,  Madagascar 
106,   Malawi 
107,   Malaysia 
108,   Maldives 
109,   Mali 
110,   Malta 
111,   Marshall Islands 
112,   Mauritania 
113,   Mauritius 
114,   Mexico 
115,"   Micronesia, Federated States of "
116,   Moldova 
117,   Monaco 
118,   Mongolia 
119,   Montenegro 
120,   Morocco 
121,   Mozambique 
122,   Myanmar
123,  Namibia 
124,   Nauru 
125,     Nepal 
126,   Netherlands 
127,   New Zealand 
128,   Nicaragua 
129,   Niger 
130,   Nigeria 
131,   North Macedonia 
132,   Norway
133,  Oman
134,  Pakistan 
135,   Palau 
136,   Palestine 
137,   Panama 
138,   Papua New Guinea 
139,   Paraguay 
140,   Peru 
141,   Philippines 
142,   Poland 
143,   Portugal
144,  Qatar
145,  Romania 
146,   Russia 
147,   Rwanda
148,  Saint Kitts and Nevis 
149,   Saint Lucia 
150,   Saint Vincent and the Grenadines 
151,   Samoa 
152,   San Marino 
153,   São Tomé and Príncipe 
154,   Saudi Arabia 
155,   Senegal 
156,   Serbia 
157,   Seychelles 
158,   Sierra Leone 
159,   Singapore 
160,   Slovakia 
161,   Slovenia 
162,   Solomon Islands 
163,   Somalia 
164,   South Africa 
165,   South Sudan 
166,   Spain 
167,   Sri Lanka 
168,   Sudan 
169,   Suriname 
170,   Sweden 
171,    Switzerland 
172,   Syria
173,  Tajikistan 
174,   Tanzania 
175,   Thailand 
176,   Togo 
177,   Tonga 
178,   Trinidad and Tobago 
179,   Tunisia 
180,   Turkey 
181,   Turkmenistan 
182,   Tuvalu
183,  Uganda 
184,   Ukraine 
185,   United Arab Emirates 
186,   United Kingdom 
187,   United States 
188,   Uruguay 
189,   Uzbekistan
190,  Vanuatu 
191,    Vatican City (Holy See) 
192,   Venezuela 
193,   Vietnam
194,  Yemen
195,  Zambia 
196,   Zimbabwe
197,  Abkhazia 
198,   Artsakh 
199,   Cook Islands 
200,   Donetsk People's Republic 
201,   Kosovo 
202,   Luhansk People's Republic 
203,   Niue 
204,   Northern Cyprus 
205,   Sahrawi Arab Democratic Republic 
206,   Somaliland 
207,   South Ossetia 
208,   Taiwan 
209,   Transnistria
